id,class_1,class_name,class_namea,system_name,system_flg,delete_flg,last_up_user,created_at,updated_at
1,1,"週","週","weekKbn",1,0,,"2025-1-1","2025-1-1"
2,2,"曜日区分","曜日区分","yobiKbn",1,0,,"2025-1-1","2025-1-1"
3,3,"未回収理由","未回収理由","mikaishu",1,0,,"2025-1-1","2025-1-1"
4,4,"ゴミ種類","ゴミ種類","itemKbn",1,0,,"2025-1-1","2025-1-1"
5,5,"管理者種別","管理者種別","adminType",1,0,,"2025-1-1","2025-1-1"
6,0,"基本設定","基本設定","basic",1,0,,"2025-1-1","2025-1-1"
7,6,"メール認証","メール認証","authentication ",1,0,,"2025-1-1","2025-1-1"
8,7,"部署","部署","sectionCode",1,0,,"2025-1-1","2025-1-1"
9,8,"車種","車種","typeCode",1,0,,"2025-1-1","2025-1-1"
10,9,"使用内容","使用内容","useContent",1,0,,"2025-1-1","2025-1-1"
11,10,"汎用メニュー","汎用メニュー","generalMenu",1,0,,"2025-1-1","2025-1-1"
12,11,"権限","権限","authority",1,0,,"2025-1-1","2025-1-1"
13,12,"申請区分","申請区分","shinseiKbn",1,0,,"2025-1-1","2025-1-1"
14,13,"確定フラグ","確定フラグ","confirmFlg",1,0,,"2025-1-1","2025-1-1"
15,14,"地区","地区","district",1,0,,"2025-1-1","2025-1-1"
16,15,"ログ区分","ログ区分","logKbn",1,0,,"2025-1-1","2025-1-1"
17,16,"変更種別","変更種別","changeType",1,0,,"2025-1-1","2025-1-1"
18,17,"採番","採番","numbering",1,0,,"2025-1-1","2025-1-1"
19,18,"応答種別","応答種別","responseType",1,0,,"2025-1-1","2025-1-1"
20,19,"色","色","colorPattern",1,0,,"2025-1-1","2025-1-1"
21,20,"単位","単位","unitKbn",1,0,,"2025-1-1","2025-1-1"
22,21,"ゼンリン住宅地図","ゼンリン","zenrin",0,0,,"2025-1-1","2025-1-1"
23,22,"給油","給油","FeeGass",0,0,,"2025-1-1","2025-1-1"
24,23,"運行前点検","運行前点検","opeInspec",0,0,,"2025-1-1","2025-1-1"
25,24,"運行後作業","運行後作業","opeWork",0,0,,"2025-1-1","2025-1-1"
